sample,document_id,lag_seconds,found
0,doc-lag-00,0.0023719000000710366,True
1,doc-lag-01,0.0022463000004790956,True
2,doc-lag-02,0.002255499999591848,True
3,doc-lag-03,0.0024069999999483116,True
4,doc-lag-04,0.0029286999997566454,True
5,doc-lag-05,0.0023903999990579905,True
6,doc-lag-06,0.0023648999995202757,True
7,doc-lag-07,0.002382200000283774,True
8,doc-lag-08,0.0023891999990155455,True
9,doc-lag-09,0.0023932000003696885,True
10,doc-lag-10,0.002474499999152613,True
11,doc-lag-11,0.0024895000005926704,True
12,doc-lag-12,0.0024944999986473704,True
13,doc-lag-13,0.002518400000553811,True
14,doc-lag-14,0.002566699999078992,True
15,doc-lag-15,0.002597599999717204,True
16,doc-lag-16,0.0028086000002076617,True
17,doc-lag-17,0.0027097000001958804,True
18,doc-lag-18,0.002678599999853759,True
19,doc-lag-19,0.002710199998546159,True
